,player_id,school,county,height,weight,seasons,jersey_number,from_year,to_year,draft_year,draft_round,draft_number
200,1627885,USA,USA,6-7,190,2,3,2017,2019,Undrafted,Undrafted,Undrafted
201,1628404,USA,USA,6-5,215,2,3,2017,2019,2017,1,30
202,1628392,Germany,Germany,7-0,250,1,55,2018,2019,2017,2,43
203,2617,USA,USA,6-8,235,16,40,2003,2019,Undrafted,Undrafted,Undrafted
204,1629637,USA,USA,6-11,220,0,10,2019,2019,2019,1,8
205,202330,USA,USA,6-7,225,9,20,2010,2019,2010,1,9
206,203089,USA,USA,6-9,219,7,31,2012,2019,2012,1,14
207,1629608,USA,USA,6-10,235,0,20,2019,2019,2019,2,59
208,1627823,Spain,Spain,6-9,214,3,41,2016,2019,2016,1,15
209,1626195,Spain,Spain,6-11,250,3,9,2016,2019,2015,2,35
210,1629639,USA,USA,6-5,195,0,14,2019,2019,2019,1,13
211,1628987,USA,USA,6-9,230,0,15,2019,2019,2018,2,57
212,1626209,Croatia,Croatia,6-8,220,4,44,2015,2019,2015,1,5
213,1627741,Bahamas,Bahamas,6-4,220,3,24,2016,2019,2016,1,6
214,201588,USA,USA,6-3,188,11,3,2008,2019,2008,1,26
215,203524,USA,USA,6-6,226,6,44,2013,2019,2013,1,23
216,1629658,France,France,6-8,216,0,6,2019,2019,Undrafted,Undrafted,Undrafted
217,1628988,USA,USA,6-0,185,1,3,2018,2019,2018,1,23
218,201950,USA,USA,6-3,205,10,11,2009,2019,2009,1,17
219,203200,USA,USA,6-6,180,6,8,2012,2019,Undrafted,Undrafted,Undrafted
220,1626178,USA,USA,6-6,217,4,4,2015,2019,2015,1,23
221,1626158,USA,USA,6-10,235,4,22,2015,2019,2015,2,37
222,203918,USA,USA,6-8,208,5,5,2014,2019,2014,1,23
223,201143,Dominican Republic,Dominican Republic,6-9,240,12,42,2007,2019,2007,1,3
224,1629659,USA,USA,6-4,234,0,5,2019,2019,2019,2,46
225,1627863,USA,USA,6-6,220,3,4,2016,2019,Undrafted,Undrafted,Undrafted
226,2730,USA,USA,6-10,265,15,39,2004,2019,2004,1,1
227,1629739,France,France,6-8,207,0,52,2019,2019,Undrafted,Undrafted,Undrafted
228,1628989,USA,USA,6-7,190,1,3,2018,2019,2018,1,19
229,1629631,USA,USA,6-7,225,0,12,2019,2019,2019,1,4
230,1628990,USA,USA,6-7,210,1,15,2018,2019,2018,1,22
231,201586,Democratic Republic of the Congo,Democratic Republic of the Congo,7-0,235,10,9,2009,2019,2008,1,24
232,2738,USA,USA,6-6,215,15,28,2004,2019,2004,1,9
233,101141,Turkey,Turkey,6-9,235,11,7,2006,2019,2005,2,36
234,204060,Australia,Australia,6-7,220,5,2,2014,2019,Undrafted,Undrafted,Undrafted
235,1627742,USA,USA,6-7,190,3,14,2016,2019,2016,1,2
236,202681,Australia,Australia,6-2,195,8,11,2011,2019,2011,1,1
237,1628371,USA,USA,6-11,230,2,1,2017,2019,2017,1,6
238,1628411,USA,USA,6-6,195,2,25,2017,2019,2017,2,33
239,1628402,USA,USA,6-3,205,1,15,2017,2019,2017,2,31
240,1628367,USA,USA,6-8,207,2,20,2017,2019,2017,1,4
241,1628382,USA,USA,6-7,220,2,44,2017,2019,2017,1,15
242,202704,USA,USA,6-3,208,8,1,2011,2019,2011,1,24
243,1628991,USA,USA,6-11,242,1,13,2018,2019,2018,1,4
244,1629713,USA,USA,6-7,190,0,10,2019,2019,2019,2,40
245,2544,USA,USA,6-9,250,16,23,2003,2019,2003,1,1
246,1628518,USA,USA,,,1,,2017,2019,Undrafted,Undrafted,Undrafted
247,1629610,USA,USA,6-5,230,0,19,2019,2019,Undrafted,Undrafted,Undrafted
248,1629660,USA,USA,6-5,195,0,10,2019,2019,2019,1,24
249,1628993,USA,USA,6-7,212,1,24,2018,2019,2018,2,50
250,1629168,USA,USA,6-7,200,1,13,2018,2019,Undrafted,Undrafted,Undrafted
251,1629661,USA,USA,6-8,210,0,23,2019,2019,2019,1,11
252,201949,USA,USA,6-7,240,10,16,2009,2019,2009,1,16
253,1629640,USA,USA,6-5,220,0,3,2019,2019,2019,1,29
254,1626169,USA,USA,6-6,242,4,5,2015,2019,2015,1,8
255,204020,USA,USA,,,5,,2014,2019,Undrafted,Undrafted,Undrafted
256,203999,Serbia,Serbia,7-0,284,4,15,2015,2019,2014,2,41
257,1627745,USA,USA,6-11,245,3,30,2016,2019,2016,1,30
258,1626145,USA,USA,6-0,196,4,21,2015,2019,2015,1,24
259,1627884,USA,USA,6-6,210,3,5,2016,2019,Undrafted,Undrafted,Undrafted
260,201599,USA,USA,6-11,265,11,6,2008,2019,2008,2,35
261,202709,Canada,Canada,6-3,200,8,9,2011,2019,2011,1,29
262,1629662,Canada,Canada,6-9,250,0,25,2019,2019,2019,1,27
263,1626163,USA,USA,7-0,240,4,8,2015,2019,2015,1,9
264,202683,Turkey,Turkey,6-10,250,8,11,2011,2019,2011,1,3
265,1628379,USA,USA,6-5,206,2,5,2017,2019,2017,1,12
266,1629742,USA,USA,,,0,,2019,2019,Undrafted,Undrafted,Undrafted
267,203077,USA,USA,6-6,232,7,14,2012,2019,2012,1,2
268,1629663,USA,USA,6-7,205,0,14,2019,2019,Undrafted,Undrafted,Undrafted
269,1628467,Germany,Germany,6-10,240,2,42,2017,2019,Undrafted,Undrafted,Undrafted
270,202688,USA,USA,6-2,182,7,20,2011,2019,2011,1,8
271,1628995,USA,USA,6-7,215,1,20,2018,2019,2018,1,9
272,1629723,USA,USA,6-5,210,0,46,2019,2019,Undrafted,Undrafted,Undrafted
273,1627788,Turkey,Turkey,6-7,202,2,30,2017,2019,2016,1,26
274,1628436,USA,USA,7-2,250,2,2,2017,2019,Undrafted,Undrafted,Undrafted
275,2594,USA,USA,6-7,212,16,26,2003,2019,2003,2,51
276,1629066,Latvia,Latvia,6-9,228,1,00,2018,2019,2018,2,40
277,1628398,USA,USA,6-8,221,2,0,2017,2019,2017,1,27
278,203897,USA,USA,6-6,200,5,8,2014,2019,2014,1,13
279,1627746,Haiti,Haiti,6-10,235,3,7,2016,2019,2016,1,28
280,203087,USA,USA,6-5,180,7,26,2012,2019,2012,1,12
281,1629641,USA,USA,6-4,216,0,45,2019,2019,2019,1,14
282,1629724,USA,USA,6-7,201,0,23,2019,2019,Undrafted,Undrafted,Undrafted
283,1627774,USA,USA,6-8,209,3,10,2016,2019,2016,2,47
284,1627747,USA,USA,6-6,205,3,22,2016,2019,2016,1,20
285,1628388,USA,USA,6-10,222,2,22,2017,2019,2017,1,18
286,1629665,USA,USA,6-4,185,0,0,2019,2019,Undrafted,Undrafted,Undrafted
287,201584,USA,USA,6-5,215,11,1,2008,2019,2008,1,22
288,1627814,USA,USA,6-5,210,2,1,2017,2019,Undrafted,Undrafted,Undrafted
289,203458,Ukraine,Ukraine,7-0,250,6,25,2013,2019,2013,1,5
290,202695,USA,USA,6-7,225,8,2,2011,2019,2011,1,15
291,203086,USA,USA,7-0,260,7,0,2012,2019,2012,1,11
292,203081,USA,USA,6-2,195,7,0,2012,2019,2012,1,6
293,1629642,USA,USA,6-5,220,0,9,2019,2019,2019,1,25
294,1626172,USA,USA,6-9,222,4,5,2015,2019,2015,1,30
295,201572,USA,USA,7-0,282,11,11,2008,2019,2008,1,10
296,201577,USA,USA,7-0,281,11,42,2008,2019,2008,1,15
297,201567,USA,USA,6-8,251,11,0,2008,2019,2008,1,5
298,200768,USA,USA,6-0,196,13,7,2006,2019,2006,1,24
299,1627789,France,France,6-7,220,3,9,2016,2019,2016,1,24
300,1626168,USA,USA,6-9,234,4,41,2015,2019,2015,1,12
301,1629133,USA,USA,,,1,,2018,2019,Undrafted,Undrafted,Undrafted
302,203705,USA,USA,,,1,,2017,2019,Undrafted,Undrafted,Undrafted
303,101133,France,France,6-11,262,11,28,2007,2019,2005,1,28
304,1627748,South Sudan,South Sudan,7-0,221,3,7,2016,2019,2016,1,10
305,1629611,USA,USA,6-5,215,0,14,2019,2019,2019,2,48
306,1626246,Serbia,Serbia,7-4,290,4,51,2015,2019,Undrafted,Undrafted,Undrafted
307,1628374,Finland,Finland,7-0,240,2,24,2017,2019,2017,1,7
308,1628997,USA,USA,6-5,205,0,10,2019,2019,Undrafted,Undrafted,Undrafted
309,1628998,USA,USA,6-5,205,0,11,2019,2019,2019,2,36
310,1629725,USA,USA,6-2,185,0,0,2019,2019,Undrafted,Undrafted,Undrafted
311,1629103,USA,USA,6-5,230,0,30,2019,2019,Undrafted,Undrafted,Undrafted
312,1628412,USA,USA,5-11,190,2,15,2017,2019,2017,2,34
313,1629726,USA,USA,6-5,215,0,24,2019,2019,Undrafted,Undrafted,Undrafted
314,202083,USA,USA,6-4,220,10,9,2009,2019,Undrafted,Undrafted,Undrafted
315,1627775,USA,USA,6-7,181,3,22,2016,2019,2016,2,38
316,203468,USA,USA,6-3,190,6,3,2013,2019,2013,1,10
317,204456,USA,USA,6-1,190,4,9,2015,2019,Undrafted,Undrafted,Undrafted
318,1629667,USA,USA,6-10,205,0,6,2019,2019,2019,2,52
319,203926,USA,USA,6-7,225,5,20,2014,2019,2014,1,11
320,201580,USA,USA,7-0,270,11,7,2008,2019,2008,1,18
